estimated_study_hours,hours_left_until_deadline,completion_percentage,difficulty,risk_level
2.9,63.3,87.9,Medium,Low
9.4,12.3,47.0,Hard,Medium
5.6,4.6,22.6,Hard,High
19.5,14.7,16.0,Easy,High
3.7,11.1,58.7,Easy,Low
11.8,8.5,29.3,Hard,High
8.0,111.5,92.3,Hard,Low
5.7,45.5,50.6,Easy,Low
9.4,13.4,11.5,Medium,Medium
14.0,9.6,9.3,Hard,High
7.2,1.9,12.2,Hard,High
2.3,48.5,90.4,Medium,Low
11.0,34.5,45.5,Easy,High
9.5,136.8,66.9,Easy,Low
4.8,42.4,63.8,Hard,Low
1.8,72.6,85.1,Medium,Low
9.3,128.0,87.3,Easy,Low
3.1,12.9,43.0,Medium,Low
11.6,0.6,27.2,Hard,High
11.6,0.9,31.1,Hard,High
12.7,46.3,38.9,Easy,Low
4.7,167.0,43.4,Medium,Low
7.6,13.7,27.8,Hard,Medium
1.6,45.2,58.2,Hard,Low
5.2,16.2,15.0,Easy,Low
7.0,11.2,39.2,Hard,Low
8.4,51.2,77.5,Medium,Low
16.5,13.8,17.6,Easy,High
12.6,11.8,27.7,Hard,High
6.8,99.9,61.7,Easy,Low
9.2,90.6,67.5,Medium,Low
7.3,29.5,63.6,Medium,Low
4.3,28.9,66.3,Easy,Low
3.4,120.1,44.9,Easy,Low
3.1,53.9,41.5,Medium,Low
5.1,91.2,90.1,Medium,Low
7.5,47.1,34.0,Medium,Low
3.3,37.0,61.1,Hard,Low
15.2,6.5,13.9,Hard,High
5.7,9.0,16.1,Easy,Medium
7.9,127.5,49.2,Hard,Low
14.2,7.1,35.7,Hard,High
5.5,15.4,12.2,Hard,Medium
7.4,3.3,35.1,Hard,High
2.1,65.1,91.1,Hard,Low
3.6,22.4,67.3,Easy,Low
5.5,55.6,25.0,Medium,Low
9.3,140.6,45.9,Easy,Low
4.1,54.2,63.6,Medium,Low
2.7,98.6,61.5,Easy,Low
1.0,109.0,96.3,Hard,Low
16.1,4.5,5.6,Easy,High
13.2,49.3,50.5,Medium,Low
3.6,32.3,42.9,Medium,Low
10.9,22.9,53.6,Hard,Medium
11.9,47.4,35.5,Easy,Low
6.4,100.4,45.3,Easy,Low
11.4,32.8,56.3,Easy,Low
6.8,10.3,23.0,Easy,Medium
17.4,8.8,8.4,Medium,High
14.6,20.9,64.8,Easy,Low
2.7,59.5,47.9,Medium,High
6.0,80.0,40.8,Hard,Low
3.4,160.1,78.3,Hard,Low
13.2,11.6,32.6,Easy,Medium
4.8,96.7,76.4,Medium,Low
7.4,26.9,32.0,Easy,Low
12.8,17.8,20.2,Hard,High
4.1,69.8,90.4,Easy,Low
1.8,44.7,55.1,Hard,Low
13.1,53.9,63.8,Easy,Low
14.6,2.6,26.0,Hard,High
5.9,135.2,76.1,Easy,Low
7.8,59.4,65.3,Easy,Low
18.1,7.0,22.5,Medium,High
4.5,67.2,65.4,Hard,Low
11.4,56.3,45.3,Easy,Low
12.0,48.7,23.3,Medium,Low
18.3,9.6,0.8,Medium,High
1.6,137.0,95.6,Easy,Low
5.5,131.6,56.1,Medium,Low
8.3,21.4,55.0,Medium,Low
14.1,3.0,31.5,Hard,High
12.2,18.6,25.4,Hard,Medium
6.2,16.8,37.8,Medium,Low
2.0,45.4,87.6,Medium,Low
13.2,10.0,22.0,Easy,High
7.2,129.8,44.3,Medium,Low
9.5,69.5,41.8,Medium,Low
5.0,20.2,24.9,Medium,Low
13.2,38.5,31.2,Easy,Low
3.7,92.3,51.0,Medium,Low
6.5,32.7,62.9,Medium,Low
8.0,10.4,25.0,Medium,Medium
4.3,51.1,28.5,Hard,Low
8.9,40.5,47.1,Medium,Low
7.9,18.4,4.4,Easy,Medium
7.5,32.9,47.6,Easy,Low
5.9,58.8,24.6,Hard,Low
19.2,14.1,3.7,Hard,High
4.2,102.8,96.5,Medium,Low
15.7,19.3,7.0,Hard,High
7.4,46.1,20.7,Hard,Low
9.2,4.4,12.1,Easy,High
19.3,18.2,5.9,Medium,High
2.4,153.1,85.3,Easy,Low
16.3,11.4,20.1,Hard,High
8.4,156.3,44.3,Easy,Low
8.3,34.0,26.7,Easy,Low
3.9,91.7,48.4,Hard,Medium
13.8,49.5,61.2,Easy,Low
7.7,153.9,49.3,Easy,Low
3.6,10.1,23.8,Medium,Medium
6.6,71.1,48.9,Easy,Low
7.0,54.2,37.9,Medium,Low
18.6,18.9,21.9,Medium,High
5.1,15.6,41.2,Medium,Low
11.8,27.3,52.8,Easy,Low
5.0,27.4,34.4,Easy,Low
13.3,57.7,46.3,Hard,Low
9.8,14.4,13.0,Medium,Medium
3.4,16.3,23.7,Medium,Low
7.7,152.5,66.1,Hard,Low
12.8,17.0,30.3,Hard,High
5.1,106.7,97.8,Hard,Low
5.6,42.2,27.1,Medium,Low
7.8,45.1,68.2,Hard,Low
5.0,155.5,47.7,Easy,Low
5.1,146.2,83.4,Medium,Low
5.4,5.8,6.6,Easy,High
8.7,39.6,47.7,Easy,Low
3.2,96.9,87.8,Hard,Low
14.8,19.8,29.2,Medium,Medium
7.8,20.2,38.7,Medium,Low
4.9,31.7,67.7,Hard,Low
14.9,2.2,9.8,Easy,High
6.2,32.6,66.3,Hard,Low
7.3,164.1,50.6,Easy,Low
8.1,75.4,64.9,Easy,Low
12.3,25.9,65.7,Easy,Low
9.9,41.0,59.2,Easy,Low
3.7,26.6,57.0,Hard,Low
12.4,8.7,14.5,Easy,High
1.9,93.2,65.6,Medium,Low
8.1,109.6,61.6,Medium,Low
5.5,165.3,98.4,Easy,Low
8.0,51.5,35.0,Easy,Low
9.1,19.2,35.3,Medium,Medium
8.1,49.2,57.2,Medium,Low
5.5,2.7,18.6,Medium,High
7.7,9.0,5.6,Easy,Medium
2.0,136.8,67.6,Hard,Low
9.2,110.8,84.4,Easy,Low
12.1,33.7,46.7,Hard,Low
13.7,35.0,39.7,Easy,Low
14.1,0.7,26.5,Medium,High
2.5,93.7,64.8,Hard,Low
14.0,16.9,66.3,Hard,Medium
13.8,42.5,43.8,Hard,Low
9.1,127.2,91.7,Medium,Low
17.5,13.1,15.3,Medium,High
6.7,57.2,54.0,Hard,Low
13.0,35.9,33.8,Hard,Medium
8.5,34.8,60.8,Easy,Low
14.4,22.3,54.2,Hard,Medium
10.4,14.9,21.9,Easy,Medium
19.7,2.4,10.6,Easy,High
11.7,57.2,65.5,Hard,Low
11.5,27.4,51.7,Hard,Medium
6.2,82.7,48.5,Easy,Low
10.4,39.7,46.3,Medium,Low
15.1,1.0,38.9,Easy,High
8.7,151.2,66.6,Hard,Low
12.7,11.3,31.2,Easy,Medium
3.8,139.0,45.2,Medium,Low
3.9,37.2,47.0,Hard,Low
11.2,19.5,55.6,Medium,Medium
13.0,6.9,13.4,Medium,High
5.3,92.0,91.9,Easy,Low
5.3,120.4,81.7,Medium,Low
16.3,8.1,13.0,Medium,High
17.3,4.2,27.6,Easy,High
10.1,24.2,22.7,Easy,Medium
9.3,17.6,67.0,Easy,Low
13.3,22.9,28.9,Hard,Medium
15.8,9.2,26.5,Easy,High
1.3,50.2,63.1,Medium,Low
5.9,46.2,43.6,Medium,Low
15.6,6.6,5.6,Hard,High
14.2,46.1,28.9,Medium,Low
4.0,24.1,42.5,Medium,Low
9.1,50.4,59.0,Easy,Low
11.4,17.8,4.8,Hard,High
14.9,11.0,26.5,Hard,High
19.4,4.8,27.1,Hard,High
10.9,7.0,14.2,Medium,High
17.9,11.6,5.5,Hard,High
6.7,161.7,82.5,Easy,Low
17.2,17.8,0.6,Hard,High
18.5,18.1,3.3,Medium,High
6.6,43.1,47.1,Easy,Low
1.7,131.3,49.3,Easy,Low
8.5,3.2,38.5,Easy,High
9.7,10.2,23.7,Medium,High
14.1,2.6,29.5,Medium,High
5.0,38.2,34.5,Medium,Low
1.5,109.2,41.7,Medium,Low
13.9,50.5,55.4,Medium,Low
8.4,2.5,7.0,Hard,High
9.7,1.2,10.2,Medium,High
14.2,27.9,30.1,Medium,Medium
5.9,56.3,65.5,Easy,Low
4.7,100.9,44.8,Hard,Low
7.7,18.6,4.8,Hard,Medium
5.3,39.6,67.1,Hard,Low
11.1,19.6,32.6,Medium,Medium
4.7,56.6,52.1,Hard,Low
3.1,165.5,63.0,Easy,Low
13.7,15.4,38.5,Medium,Medium
10.4,16.2,2.4,Hard,High
10.5,17.5,32.2,Easy,Medium
8.1,2.7,21.4,Easy,High
2.8,142.3,64.9,Medium,Low
16.0,4.0,11.8,Easy,High
12.0,16.6,14.5,Easy,Medium
13.1,28.9,29.5,Medium,Medium
9.5,11.4,20.4,Easy,Medium
5.7,10.1,31.3,Easy,Medium
3.2,57.2,39.0,Easy,Low
15.7,9.1,3.8,Medium,High
10.8,38.2,45.6,Medium,Low
10.6,16.0,67.6,Easy,Low
6.0,18.6,28.7,Easy,Low
19.9,9.9,30.1,Hard,High
6.1,36.9,36.6,Hard,Low
3.8,88.6,83.1,Hard,Low
17.3,10.9,12.3,Easy,High
13.3,2.7,30.8,Easy,High
5.1,14.7,36.4,Hard,Medium
11.6,26.3,63.1,Easy,Low
6.7,19.6,22.8,Hard,Medium
11.1,56.1,46.1,Hard,Low
9.3,14.5,27.3,Medium,Medium
4.4,69.6,98.6,Medium,Low
5.6,103.8,69.9,Easy,Low
3.8,98.1,53.8,Hard,Low
8.3,44.8,37.8,Easy,Low
2.4,147.5,99.8,Medium,Low
5.6,59.3,42.6,Easy,Low
10.8,4.9,30.2,Hard,High
14.8,33.4,66.2,Easy,Low
13.7,5.5,11.4,Hard,High
8.0,93.0,83.5,Medium,Low
9.0,16.1,30.9,Hard,Medium
4.3,73.2,85.0,Hard,Low
10.6,11.2,54.4,Medium,High
14.6,0.6,32.5,Easy,High
6.8,126.6,82.8,Medium,Low
1.9,77.6,59.7,Hard,Low
10.1,14.6,61.6,Easy,Low
9.6,122.9,40.7,Hard,Low
7.5,40.6,95.5,Hard,Low
12.1,17.0,1.3,Hard,High
7.3,47.0,69.8,Medium,Low
7.3,99.5,77.9,Hard,Low
15.6,5.2,34.3,Hard,High
9.5,37.5,44.6,Medium,Low
6.6,150.2,94.8,Easy,Low
14.5,47.7,36.1,Medium,Low
12.3,24.7,64.4,Easy,Low
2.0,158.8,87.2,Medium,Low
9.0,25.6,29.3,Medium,Low
16.5,11.5,18.1,Medium,High
12.7,10.4,2.7,Medium,High
9.4,157.6,83.1,Medium,Low
8.2,58.3,65.6,Easy,Low
13.0,27.6,22.5,Medium,Medium
10.7,13.0,50.2,Easy,Medium
9.8,75.2,41.0,Hard,Low
9.0,64.1,45.2,Easy,Low
17.9,9.3,34.4,Hard,High
3.3,48.3,33.4,Medium,Low
2.7,91.0,47.3,Easy,Low
7.6,49.6,54.9,Hard,Low
8.3,41.6,20.6,Medium,Low
4.9,45.7,71.2,Medium,Low
6.2,113.7,82.6,Medium,Low
7.4,42.0,58.9,Hard,Low
3.1,43.1,49.9,Medium,Low
12.9,17.5,34.4,Easy,Medium
8.1,24.0,20.7,Medium,Medium
5.8,16.6,23.2,Medium,Medium
7.6,133.4,54.8,Easy,Low
3.5,57.7,67.3,Easy,Low
7.9,8.9,7.0,Hard,High
17.3,5.5,27.3,Medium,High
17.8,6.1,20.1,Easy,High
13.4,16.3,14.1,Easy,Medium
8.9,42.6,42.6,Hard,Low
6.4,11.2,13.0,Medium,Medium
5.2,154.7,88.8,Hard,Low
3.5,40.7,39.1,Hard,Low
14.8,8.0,30.5,Hard,High
1.7,133.1,76.1,Easy,Low
4.6,112.5,48.5,Easy,Low
10.8,54.4,57.8,Hard,Low
11.2,43.0,42.2,Medium,Low
15.2,13.2,1.9,Hard,High
2.5,136.0,94.4,Medium,Low
4.8,41.5,50.9,Easy,Low
5.4,31.5,46.5,Easy,Low
5.2,15.5,25.4,Medium,Medium
4.2,23.6,52.4,Medium,Low
3.7,85.5,99.8,Medium,Low
13.4,3.1,14.8,Hard,High
8.7,164.2,45.2,Hard,Low
7.9,118.2,67.3,Medium,Low
13.2,15.2,37.9,Hard,High
13.2,12.2,28.0,Easy,Medium
12.9,22.1,22.8,Medium,Medium
11.5,2.8,5.2,Hard,High
8.3,71.4,60.5,Easy,Low
11.2,36.6,20.0,Hard,Medium
7.5,134.8,73.5,Easy,Low
6.6,46.8,54.5,Hard,Low
14.0,3.5,32.1,Easy,High
6.2,136.4,45.4,Medium,Low
4.0,59.4,63.5,Medium,High
3.0,50.8,23.5,Easy,Low
5.6,34.3,67.4,Hard,Low
11.9,26.6,38.1,Easy,Low
7.1,85.5,69.2,Medium,Low
13.6,8.3,23.7,Medium,High
3.9,109.0,82.2,Hard,Low
1.7,164.2,86.9,Hard,Low
1.7,154.3,49.0,Medium,Low
3.6,124.0,97.8,Hard,Low
18.3,19.0,20.9,Medium,High
18.9,16.6,6.5,Easy,High
5.2,153.0,88.2,Hard,Low
12.7,27.9,38.5,Medium,Medium
10.1,19.9,14.9,Hard,Medium
1.6,161.0,79.6,Hard,Low
5.6,149.4,63.5,Hard,Low
16.1,3.6,21.3,Hard,High
9.4,42.5,92.7,Medium,Low
6.3,57.9,45.2,Medium,Low
16.1,2.0,3.4,Hard,High
15.9,6.1,8.7,Easy,High
5.2,49.9,66.8,Medium,Low
8.0,18.2,7.9,Easy,Medium
10.9,19.2,36.4,Medium,Medium
9.2,2.8,5.0,Hard,Low
8.1,106.0,85.5,Easy,Low
7.6,54.3,96.0,Easy,Low
8.8,58.4,59.2,Hard,Low
17.4,10.9,31.9,Hard,High
12.3,5.3,27.0,Hard,High
7.4,123.6,76.3,Medium,Low
8.6,124.8,88.4,Easy,Low
17.9,11.8,26.3,Medium,High
8.2,31.3,24.1,Hard,Low
8.5,0.8,35.6,Easy,High
5.9,102.1,83.4,Hard,Low
10.0,33.3,63.8,Hard,Low
7.1,30.6,65.6,Medium,Low
2.0,118.6,66.5,Easy,Low
12.4,33.7,25.2,Easy,Low
17.4,2.3,26.4,Medium,High
13.0,49.9,23.0,Medium,Low
1.2,65.5,49.1,Easy,Low
5.3,19.9,22.0,Hard,Medium
11.5,12.8,38.9,Medium,Medium
6.7,10.4,24.6,Hard,Medium
8.3,94.6,98.9,Easy,Low
4.8,23.3,60.7,Easy,Low
6.1,124.5,80.9,Easy,Low
7.8,17.1,53.9,Easy,Low
4.1,27.8,28.8,Easy,Low
19.3,10.4,16.8,Medium,High
9.0,58.6,25.6,Easy,Low
8.2,3.5,25.7,Medium,High
9.6,29.6,29.1,Easy,Low
14.9,39.3,38.1,Easy,Low
12.1,6.3,25.6,Easy,High
7.1,16.9,32.4,Medium,Medium
18.1,7.0,25.4,Easy,High
9.7,147.0,95.6,Hard,Low
1.9,124.1,74.9,Hard,Low
7.5,5.2,15.8,Medium,High
8.8,122.0,55.7,Medium,Low
5.0,153.5,55.9,Hard,Low
6.5,65.1,84.1,Hard,Low
13.4,19.1,0.5,Medium,High
8.5,83.1,71.9,Hard,Low
8.8,19.8,19.6,Hard,Medium
7.2,82.2,57.3,Easy,Low
17.6,2.5,27.2,Medium,High
7.1,15.9,37.3,Easy,Low
5.6,91.2,83.5,Medium,Low
4.0,13.3,64.6,Medium,Low
4.6,32.1,56.9,Hard,Low
7.5,33.5,38.2,Easy,Low
4.5,18.0,45.3,Easy,Low
17.0,14.0,25.7,Hard,High
11.0,9.6,33.6,Hard,High
5.6,145.9,45.2,Medium,Low
2.3,74.4,50.0,Medium,Low
5.9,135.4,84.8,Easy,Low
17.5,5.1,13.1,Hard,High
17.5,15.1,2.2,Hard,High
9.9,27.9,22.0,Hard,Medium
9.4,21.1,59.1,Hard,Low
14.4,16.8,23.5,Medium,Low
13.1,15.4,7.1,Medium,High
9.2,54.3,40.8,Easy,Low
8.6,43.4,35.4,Easy,Low
9.7,31.2,65.1,Medium,Low
5.4,117.0,77.1,Hard,Low
7.0,12.4,11.7,Hard,Medium
4.5,50.5,32.3,Medium,Low
8.8,52.8,36.9,Medium,Low
7.7,27.0,57.8,Easy,Low
4.7,44.1,86.1,Medium,Low
6.4,153.9,85.8,Medium,Low
8.2,16.9,38.7,Easy,Low
13.9,31.5,56.0,Hard,Medium
11.7,13.6,5.9,Hard,High
15.8,1.7,21.4,Easy,High
8.5,126.1,40.7,Easy,Low
8.5,113.1,79.5,Easy,Low
19.6,19.0,7.5,Medium,High
5.0,154.7,88.6,Hard,Low
7.0,31.0,24.1,Medium,Low
8.5,44.5,22.0,Easy,Low
4.6,157.8,70.0,Easy,Low
11.3,9.8,36.7,Medium,High
2.0,140.1,49.0,Hard,Low
8.8,3.7,8.7,Medium,High
8.1,8.6,12.0,Medium,High
9.8,32.9,20.6,Medium,Low
7.3,128.2,96.6,Medium,Low
9.9,26.0,44.7,Easy,Low
14.1,29.5,35.0,Medium,Medium
2.9,73.9,74.3,Hard,Low
4.5,13.8,29.0,Easy,Medium
18.6,8.2,24.5,Hard,High
5.2,123.8,66.5,Hard,Low
14.5,49.2,44.2,Easy,Low
9.5,9.8,34.1,Easy,Medium
7.7,79.0,94.2,Easy,Low
10.1,51.3,51.7,Hard,Low
10.5,14.9,21.1,Hard,High
18.5,15.3,20.3,Hard,High
5.1,7.7,5.9,Hard,High
8.6,14.7,52.1,Hard,Medium
11.0,56.2,27.1,Easy,Low
11.3,12.8,51.4,Easy,Medium
2.8,131.9,78.1,Easy,Low
2.6,106.4,82.7,Medium,Low
6.6,6.4,17.0,Easy,High
7.3,90.5,98.7,Easy,Low
1.9,164.7,79.4,Easy,Low
1.1,153.6,92.9,Medium,Low
9.6,19.6,32.6,Easy,Medium
2.7,120.6,79.4,Medium,Low
8.9,17.0,26.7,Medium,Medium
3.0,128.1,59.5,Hard,Low
3.7,146.2,71.5,Medium,Low
9.7,16.2,46.5,Hard,High
12.3,54.6,62.8,Medium,Low
10.0,153.7,60.6,Medium,Low
13.4,3.7,13.1,Hard,High
14.9,18.7,10.3,Medium,High
10.6,35.6,52.4,Hard,Low
10.1,14.8,39.6,Easy,Medium
11.7,14.7,51.6,Hard,Medium
18.3,2.7,9.0,Easy,High
19.1,19.3,33.9,Medium,High
13.0,10.6,40.8,Easy,Medium
5.3,18.5,65.1,Easy,Low
8.9,9.2,28.1,Hard,High
14.8,6.2,18.4,Hard,High
14.7,9.3,17.2,Hard,High
9.7,3.1,2.7,Medium,Low
3.2,119.9,84.1,Medium,Low
5.6,49.4,38.7,Easy,Low
5.7,133.8,86.5,Medium,Low
13.7,17.4,38.1,Medium,Medium
6.7,21.5,46.0,Easy,Low
14.7,58.3,29.1,Easy,Low
16.7,3.1,1.5,Hard,Medium
1.7,75.1,57.1,Easy,Low
18.8,2.3,18.8,Medium,High
3.7,58.5,48.3,Easy,Low
12.1,13.9,24.8,Medium,High
3.9,102.7,67.5,Hard,Low
7.6,146.1,81.1,Hard,Low
8.5,7.6,9.8,Easy,High
8.9,42.5,26.0,Easy,Low
8.1,91.9,62.2,Hard,Low
8.7,12.0,1.1,Medium,High
7.6,12.3,11.5,Hard,High
7.5,30.3,46.8,Easy,Low
4.7,42.3,29.4,Easy,Low
13.3,25.3,67.4,Easy,Low
17.7,11.6,15.3,Medium,High
12.2,38.6,33.0,Medium,Low
5.8,14.4,34.7,Hard,Medium
8.7,14.6,17.8,Easy,Medium
16.5,18.7,37.7,Hard,High
2.4,137.1,65.4,Easy,Low
7.0,31.4,29.1,Easy,Low
6.5,150.2,65.7,Medium,Low
8.1,12.9,37.9,Medium,Medium
10.7,34.2,41.7,Medium,Low
2.2,104.8,60.9,Easy,Low
13.2,53.7,20.2,Easy,Low
7.3,76.5,83.8,Medium,Low
18.8,13.2,19.5,Medium,High
10.9,18.5,28.8,Medium,Medium
6.0,26.3,48.5,Easy,Low
11.7,14.7,36.6,Medium,Medium
2.0,102.1,93.7,Easy,Low
5.8,88.7,61.6,Medium,Low
8.6,50.0,60.7,Hard,Low
5.4,74.9,63.3,Easy,Low
12.5,13.4,15.7,Hard,High
5.9,166.6,69.6,Medium,Low
5.8,149.8,45.2,Hard,Low
13.9,12.0,24.5,Medium,High
6.2,135.5,42.7,Easy,Low
7.8,155.3,54.7,Hard,Medium
3.5,46.2,20.7,Easy,Low
12.2,14.5,1.8,Medium,High
4.4,49.4,53.3,Hard,Low
7.0,50.8,57.9,Hard,Low
7.7,124.0,52.8,Medium,Low
19.9,5.6,12.1,Medium,High
3.1,101.1,91.5,Medium,Low
3.4,14.8,27.0,Hard,Medium
7.9,22.6,33.5,Easy,Low
9.4,30.8,50.9,Easy,Low
8.0,153.3,48.8,Hard,Low
13.9,15.8,11.9,Medium,High
6.8,10.1,6.5,Medium,Medium
12.9,29.3,21.7,Medium,Medium
12.2,13.7,54.4,Hard,Medium
8.6,8.2,7.0,Hard,High
9.5,143.8,45.1,Easy,Low
8.5,15.6,3.6,Easy,Medium
5.8,98.8,72.8,Easy,Low
7.7,45.5,95.5,Medium,Low
10.7,39.2,44.2,Hard,Low
10.6,15.5,24.0,Hard,High
2.7,59.1,71.6,Hard,Low
10.2,5.6,1.0,Easy,High
5.2,1.8,22.4,Easy,High
18.7,5.5,20.2,Easy,High
11.2,41.0,48.5,Hard,Low
5.7,8.5,24.9,Easy,Medium
7.0,25.7,66.2,Hard,Low
8.7,15.1,22.3,Medium,Medium
14.0,45.6,53.2,Easy,Low
14.2,48.1,65.5,Hard,Low
15.9,13.0,36.3,Easy,Medium
4.4,126.3,46.0,Easy,Low
9.9,10.2,49.6,Easy,High
5.0,30.9,62.6,Hard,Low
7.5,106.2,87.1,Hard,Low
1.2,133.8,55.6,Hard,Low
17.0,5.9,21.5,Hard,High
8.6,46.2,57.2,Medium,Low
11.6,31.7,55.8,Hard,Low
4.2,106.1,92.1,Easy,Low
5.5,117.4,97.5,Medium,Low
4.2,58.1,38.4,Hard,Low
6.8,163.7,69.4,Medium,Low
9.5,77.4,78.3,Hard,Low
5.7,31.5,40.3,Medium,Low
19.3,11.2,29.2,Easy,High
7.9,11.0,39.0,Hard,Medium
8.7,8.3,14.1,Hard,High
7.2,147.4,57.7,Easy,Low
9.4,49.7,68.6,Medium,Low
5.0,29.9,42.1,Medium,Low
13.7,42.2,64.7,Medium,Low
5.4,5.4,4.8,Hard,Low
5.5,55.8,58.3,Easy,Low
7.7,150.7,73.7,Hard,Low
16.5,5.7,15.6,Easy,High
19.2,9.8,23.2,Easy,High
13.0,15.1,34.6,Medium,Medium
7.3,8.2,39.5,Medium,Medium
1.8,116.8,65.4,Hard,Low
10.5,16.3,30.4,Medium,Medium
1.6,149.0,44.1,Easy,Low
17.8,10.9,28.2,Hard,High
9.7,167.9,90.4,Hard,Low
5.7,140.7,67.1,Hard,Low
4.4,145.4,77.8,Easy,Low
7.0,160.5,87.1,Medium,Low
6.7,50.9,84.1,Medium,Low
5.0,125.6,94.3,Easy,Low
5.2,45.3,69.3,Medium,Low
9.5,131.7,42.2,Easy,Low
16.0,17.1,9.0,Hard,High
9.9,10.3,18.4,Medium,High
7.4,50.9,83.6,Medium,Low
1.1,72.5,87.3,Medium,Low
8.0,18.7,24.9,Medium,Medium
15.9,4.4,23.0,Hard,High
4.3,106.8,42.6,Medium,Low
6.5,56.0,67.5,Easy,Low
19.1,5.9,31.1,Medium,High
7.9,120.7,58.5,Hard,Low
1.6,53.2,92.7,Medium,Low
9.2,20.5,48.8,Hard,Medium
5.6,163.9,71.7,Easy,Low
2.9,159.1,69.5,Easy,Low
12.7,10.1,14.7,Hard,High
9.1,55.8,55.9,Hard,Low
4.5,78.2,93.5,Medium,Low
13.4,48.9,20.5,Easy,Medium
8.8,7.5,30.6,Hard,High
8.6,14.8,14.9,Hard,Medium
9.7,44.3,41.8,Medium,Low
9.1,159.5,73.0,Medium,Low
6.6,44.4,54.7,Easy,Low
18.0,19.3,37.4,Hard,High
6.8,142.4,87.8,Medium,Low
2.4,88.1,92.8,Hard,Low
10.5,19.0,15.7,Medium,Medium
14.4,39.9,57.0,Hard,Low
11.6,35.2,32.9,Medium,Low
15.1,17.3,17.9,Hard,High
8.5,50.1,28.3,Easy,Low
4.7,45.7,56.7,Easy,Low
10.4,31.5,39.4,Easy,Low
2.0,142.5,51.5,Medium,Low
8.1,133.1,87.5,Easy,Low
4.7,107.8,92.3,Medium,Low
15.9,4.4,27.5,Easy,High
7.3,13.4,10.1,Easy,Medium
16.3,11.8,36.1,Hard,High
1.1,134.9,73.2,Easy,Low
7.3,165.0,67.6,Medium,Low
8.0,3.0,23.8,Easy,High
5.8,55.0,45.7,Easy,Low
9.7,56.8,65.6,Easy,Low
3.8,113.9,93.5,Easy,Low
7.9,153.5,41.8,Hard,Low
8.3,11.8,21.3,Easy,Medium
18.3,17.6,16.4,Hard,High
13.1,47.7,38.1,Hard,Low
9.8,19.7,40.9,Easy,Low
8.1,59.5,26.2,Easy,Low
6.7,2.6,25.3,Hard,High
7.3,79.6,71.4,Easy,Low
13.8,17.3,36.0,Hard,Medium
5.4,23.6,69.0,Easy,Low
7.5,14.3,28.2,Hard,Medium
13.7,10.4,13.6,Hard,High
9.4,5.2,25.7,Easy,High
4.3,111.4,48.7,Medium,Low
7.9,17.4,30.7,Hard,Medium
10.9,12.7,37.4,Medium,Medium
13.9,3.1,1.7,Medium,High
8.5,16.9,62.6,Medium,Low
10.9,11.1,13.9,Easy,High
5.1,42.1,30.8,Easy,Low
2.7,92.9,61.7,Medium,Low
6.4,51.9,59.5,Hard,Low
6.0,70.7,58.6,Hard,Low
6.6,119.9,66.5,Hard,Low
8.7,73.5,43.0,Easy,Low
7.9,78.4,87.9,Medium,Low
5.2,105.0,77.6,Hard,Low
1.7,84.5,89.4,Easy,Low
6.4,58.9,59.2,Hard,Low
9.0,35.7,31.2,Hard,Low
7.1,11.7,3.3,Easy,Medium
14.6,6.1,37.4,Medium,High
1.4,71.2,93.1,Hard,Low
8.7,136.7,49.2,Easy,Low
13.4,50.0,23.5,Easy,Medium
14.9,17.4,39.8,Medium,Medium
3.9,53.1,45.2,Medium,Low
5.1,42.3,42.9,Easy,Low
9.1,4.8,32.9,Hard,High
6.2,144.0,86.2,Easy,Low
18.7,2.8,24.5,Easy,High
6.2,120.6,74.4,Easy,Low
17.5,9.9,20.8,Hard,High
3.5,57.5,61.9,Medium,Low
7.4,17.3,30.0,Easy,Low
20.0,6.2,13.8,Hard,High
7.9,44.4,51.8,Easy,Low
6.0,127.3,97.2,Easy,Low
10.4,57.4,36.5,Easy,Low
2.4,112.2,81.8,Medium,Low
9.1,2.2,37.5,Easy,High
6.9,27.3,38.4,Medium,Low
13.7,45.8,68.5,Easy,Low
4.1,161.4,49.6,Medium,Low
3.1,92.2,93.2,Easy,Low
14.1,52.8,39.5,Easy,Low
5.1,80.3,43.2,Easy,Low
5.1,8.8,2.7,Hard,High
7.9,24.8,52.0,Hard,Low
8.4,96.7,56.2,Hard,Low
16.7,11.8,29.2,Hard,High
5.4,45.2,29.1,Easy,Low
6.8,19.1,8.6,Medium,Medium
3.7,159.9,57.0,Easy,Low
1.6,59.3,66.5,Medium,Low
19.7,9.6,24.0,Medium,High
8.1,41.9,68.3,Hard,Low
9.2,5.8,25.6,Medium,High
2.0,163.5,41.5,Easy,Low
12.9,17.7,60.7,Hard,Medium
8.0,51.9,47.6,Medium,Low
6.3,26.9,69.8,Medium,Low
13.9,8.7,4.5,Easy,High
16.5,2.5,11.3,Hard,High
14.9,1.4,17.3,Hard,High
5.1,122.6,95.7,Hard,Low
9.6,41.1,25.9,Medium,Low
13.7,5.4,28.2,Hard,High
11.3,58.2,66.8,Medium,Low
3.8,53.1,40.9,Medium,Low
3.2,13.0,30.8,Medium,Low
8.1,150.7,77.4,Easy,Low
15.3,10.5,10.0,Hard,High
11.2,11.9,63.0,Hard,Medium
2.3,78.2,85.9,Hard,Low
12.6,53.8,32.0,Hard,Low
5.5,73.7,50.7,Hard,Low
